country_name,country_code,WGI - VoiceandAccountability,WGI - Political StabilityNoViolence,WGI - GovernmentEffectiveness,WGI - RegulatoryQuality,WGI - RuleofLaw,WGI - ControlofCorruption
Canada,CAN,1.4625053405761719,1.0299052000045776,1.7316431999206543,1.7160972356796265,1.7599397897720337,1.766973614692688
Switzerland,CHE,1.5279554128646851,1.3369934558868408,1.9521200656890869,1.66447913646698,1.9066414833068848,1.977294921875
Chile,CHL,1.0196022987365723,0.20638242363929749,1.0604203939437866,1.224169135093689,1.073613166809082,1.0884568691253662
China,CHN,-1.6123721599578857,-0.24038255214691162,0.5182531476020813,-0.24461442232131958,-0.27471861243247986,-0.32349681854248047
Côte d'Ivoire,CIV,-0.22257386147975922,-0.96235603094100952,-0.48258796334266663,-0.24286311864852905,-0.56690657138824463,-0.52507227659225464
Cameroon,CMR,-1.1946103572845459,-1.5552833080291748,-0.81214654445648193,-0.82700479030609131,-1.1189085245132446,-1.2086620330810547
"Congo, Rep.",COG,-1.2617318630218506,-0.89269912242889404,-1.3877066373825073,-1.2994359731674194,-1.1497093439102173,-1.409546971321106
Colombia,COL,0.2294834703207016,-0.9002540111541748,7.1223221719264984E-2,0.39661210775375366,-0.41692885756492615,-0.22916705906391144
Comoros,COM,-0.68938446044921875,-0.14867544174194336,-1.6691975593566895,-1.119255542755127,-1.0875025987625122,-1.0203497409820557
Cape Verde,CPV,0.9689362645149231,0.88090473413467407,0.29302796721458435,-0.22461752593517303,0.51534461975097656,0.87089073657989502
Costa Rica,CRI,1.1252985000610352,0.46021741628646851,0.4231586754322052,0.49803513288497925,0.54409223794937134,0.72237104177474976
Cuba,CUB,-1.4240325689315796,0.61341404914855957,-0.1725441962480545,-1.4867308139801025,-0.32248908281326294,4.3240487575531006E-2
Cayman Islands,CYM,0.49567258358001709,1.4457004070281982,1.1693935394287109,0.98276126384735107,0.7690085768699646,0.46616539359092712
Cyprus,CYP,1.077344536781311,0.51651078462600708,0.99249041080474854,1.012343168258667,0.75989937782287598,0.60487723350524902
Czech Republic,CZE,0.93685311079025269,0.95208495855331421,0.88563817739486694,1.2451283931732178,1.046504020690918,0.50622773170471191
Germany,DEU,1.335723876953125,0.58286529779434204,1.5853087902069092,1.7230501174926758,1.6187732219696045,1.8954731225967407
Djibouti,DJI,-1.4065248966217041,-0.34459272027015686,-0.71334266662597656,-0.7717018723487854,-0.91440337896347046,-0.85565990209579468
Dominica,DMA,0.89670205116271973,1.0737793445587158,-0.26126456260681152,0.10190054774284363,0.68633824586868286,0.5262952446937561
Denmark,DNK,1.578778862953186,1.0088208913803101,1.9378986358642578,1.5650123357772827,1.8984570503234863,2.1073682308197021
Dominican Republic,DOM,0.2019050121307373,1.8905935809016228E-2,-0.35747799277305603,-5.3592398762702942E-2,-0.34769749641418457,-0.76321697235107422
Algeria,DZA,-1.0376788377761841,-1.0035754442214966,-0.5161745548248291,-1.3033789396286011,-0.81546378135681152,-0.62184977531433105
Ecuador,ECU,6.0943637043237686E-2,-0.18901747465133667,-0.39858418703079224,-0.82361871004104614,-0.57735705375671387,-0.49641090631484985
"Egypt, Arab Rep.",EGY,-1.428673267364502,-1.0664205551147461,-0.42353767156600952,-0.82776600122451782,-0.42084598541259766,-0.67021304368972778
Eritrea,ERI,-2.1932094097137451,-0.71954989433288574,-1.7573686838150024,-2.2749180793762207,-1.5954957008361816,-1.3947665691375732
Spain,ESP,1.0854531526565552,0.32287275791168213,0.99904465675354004,1.050189733505249,0.97905218601226807,0.64679610729217529
Estonia,EST,1.2104718685150146,0.63889366388320923,1.1747465133666992,1.5911241769790649,1.281257152557373,1.5423293113708496
Ethiopia,ETH,-1.0461251735687256,-1.2795966863632202,-0.63457727432250977,-0.88897091150283813,-0.47347819805145264,-0.40646505355834961
Finland,FIN,1.5889769792556763,0.90908241271972656,1.9293129444122314,1.8510150909423828,2.0221455097198486,2.1530814170837402
Fiji,FJI,9.4157382845878601E-2,0.87231409549713135,0.20409767329692841,-0.21741810441017151,-2.5758849456906319E-2,0.55855661630630493
France,FRA,1.1416594982147217,0.31368103623390198,1.3846108913421631,1.4402916431427002,1.4120583534240723,1.3009679317474365
"Micronesia, Fed. Sts.",FSM,1.0942646265029907,0.99641239643096924,-0.18708164989948273,-0.96030133962631226,2.4115653708577156E-2,0.74971616268157959
Gabon,GAB,-1.0306549072265625,-0.17820948362350464,-0.89775323867797852,-0.95712226629257202,-0.73285096883773804,-0.93549144268035889
